ImageName,O.Colorfulness,O.SubbandEntropy,O.FeatureCongestion,O.EdgeDensity,O.Heterogeneity,O.FeatureCount,O.ColorEntropy,O.ImageEntropy,VCScore,S.ColorDiversity,S.ShapeDiversity,S.ObjectDiversity,S.Patterns,S.FeatureCongestion,S.InformationCapacity,S.Understandability
Bar.VASTC.155.1.jpg,0.682 ,0.582 ,0.537 ,0.331 ,0.326 ,0.203 ,0.361 ,0.452 ,0.414 ,0.435 ,0.127 ,0.098 ,0.281 ,0.228 ,0.185 ,0.952 
Bar.VASTJ.1374.12.jpg,0.616 ,0.729 ,0.594 ,0.522 ,0.542 ,0.393 ,0.387 ,0.535 ,0.783 ,0.541 ,0.370 ,0.550 ,0.478 ,0.592 ,0.676 ,0.501 
Bar.VASTJ.1396.3.jpg,0.375 ,0.606 ,0.653 ,0.547 ,0.511 ,0.475 ,0.215 ,0.311 ,0.435 ,0.255 ,0.218 ,0.277 ,0.102 ,0.260 ,0.326 ,0.837 
Bar.VASTJ.1427.3.jpg,0.521 ,0.400 ,0.262 ,0.206 ,0.235 ,0.133 ,0.200 ,0.294 ,0.637 ,0.582 ,0.291 ,0.286 ,0.267 ,0.354 ,0.382 ,0.649 
Bar.VASTJ.1427.7.jpg,0.348 ,0.507 ,0.433 ,0.333 ,0.363 ,0.215 ,0.298 ,0.377 ,0.788 ,0.658 ,0.388 ,0.525 ,0.349 ,0.600 ,0.613 ,0.427 
Bar.VASTJ.1448.7.jpg,0.144 ,0.256 ,0.173 ,0.162 ,0.134 ,0.128 ,0.102 ,0.147 ,0.495 ,0.413 ,0.083 ,0.227 ,0.225 ,0.225 ,0.359 ,0.795 
Bar.VASTJ.1753.10.jpg,0.130 ,0.522 ,0.288 ,0.222 ,0.361 ,0.322 ,0.400 ,0.550 ,0.821 ,0.431 ,0.421 ,0.799 ,0.594 ,0.655 ,0.740 ,0.518 
Bar.VASTJ.210.13.jpg,0.169 ,0.497 ,0.414 ,0.247 ,0.300 ,0.262 ,0.275 ,0.322 ,0.377 ,0.194 ,0.130 ,0.162 ,0.134 ,0.196 ,0.289 ,0.760 
Bar.VASTJ.270.12.jpg,0.217 ,0.851 ,0.609 ,0.710 ,0.836 ,0.907 ,0.678 ,0.860 ,0.994 ,0.666 ,0.645 ,0.829 ,0.759 ,0.864 ,1.000 ,0.185 
Bar.VASTJ.290.4.jpg,0.766 ,0.652 ,0.336 ,0.299 ,0.422 ,0.175 ,0.480 ,0.690 ,0.734 ,0.593 ,0.401 ,0.316 ,0.490 ,0.503 ,0.571 ,0.542 
Bar.VASTJ.432.8.jpg,0.001 ,0.163 ,0.161 ,0.135 ,0.129 ,0.170 ,0.022 ,0.045 ,0.342 ,0.028 ,0.126 ,0.114 ,0.176 ,0.261 ,0.204 ,0.882 
Bar.VASTJ.656.8.jpg,0.275 ,0.345 ,0.230 ,0.182 ,0.190 ,0.072 ,0.158 ,0.236 ,0.447 ,0.347 ,0.254 ,0.199 ,0.203 ,0.141 ,0.254 ,0.727 
Bar.VASTJ.817.4.jpg,0.310 ,0.662 ,0.542 ,0.397 ,0.475 ,0.317 ,0.434 ,0.519 ,0.875 ,0.688 ,0.532 ,0.903 ,0.655 ,0.712 ,0.684 ,0.401 
Bar.VisC.151.10.jpg,0.146 ,0.059 ,0.020 ,0.016 ,0.022 ,0.046 ,0.026 ,0.029 ,0.489 ,0.384 ,0.249 ,0.149 ,0.120 ,0.000 ,0.141 ,0.589 
Bar.VisC.151.11.jpg,0.349 ,0.300 ,0.223 ,0.140 ,0.142 ,0.065 ,0.096 ,0.113 ,0.458 ,0.260 ,0.232 ,0.179 ,0.230 ,0.162 ,0.123 ,0.763 
Bar.VisC.167.10.jpg,0.352 ,0.881 ,1.000 ,1.000 ,0.881 ,0.236 ,0.527 ,0.676 ,0.587 ,0.469 ,0.233 ,0.368 ,0.323 ,0.487 ,0.392 ,0.750 
Bar.VisC.167.9.jpg,0.323 ,0.772 ,0.789 ,0.742 ,0.682 ,0.238 ,0.421 ,0.548 ,0.546 ,0.483 ,0.289 ,0.321 ,0.267 ,0.315 ,0.300 ,0.732 
Bar.VisC.400.2.jpg,0.144 ,0.731 ,0.176 ,0.535 ,0.741 ,0.495 ,0.778 ,0.982 ,0.993 ,0.622 ,1.000 ,0.941 ,0.838 ,0.739 ,0.620 ,0.000 
Bar.VisC.400.4.jpg,0.237 ,0.807 ,0.249 ,0.571 ,0.940 ,0.465 ,0.850 ,0.990 ,0.930 ,0.640 ,0.958 ,0.781 ,0.730 ,0.624 ,0.467 ,0.232 
Bar.VisC.447.9.jpg,0.678 ,0.531 ,0.114 ,0.091 ,0.568 ,0.517 ,0.646 ,0.664 ,0.934 ,0.662 ,0.879 ,0.572 ,0.640 ,0.679 ,0.499 ,0.292 
Bar.VisC.503.6.jpg,0.058 ,0.428 ,0.341 ,0.376 ,0.252 ,0.152 ,0.090 ,0.179 ,0.000 ,0.046 ,0.071 ,0.068 ,0.006 ,0.029 ,0.000 ,1.000 
